strain	bacteria	date	country	location	host	isolation_source	clade_membership	Bioproject	BioSample	Assembly	AssemblyStatus	coverage	contig_count	latitude	longitude	checkm_completeness	checkm_contamination	data_origin	sample_type	sample_type_intern
A4589.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Abscess	A.Br.169	PRJNA514245	SAMN03565966	GCA_029702205.1	Contig	81	41	55.51	-4.15	99.43	0.86	clinical	NCBI	
A4590.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565967	GCA_029702185.1	Contig	88	46	55.51	-4.15	99.43	0.29	clinical	NCBI	
A4591.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	London	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565968	GCA_029702165.1	Contig	128	42	51.3	-0.7	99.43	0.86	clinical	NCBI	
A4592.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565969	GCA_029702145.1	Contig	102	45	55.51	-4.15	99.43	0.86	clinical	NCBI	
A4593.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Wound	A.Br.169	PRJNA514245	SAMN03565972	GCA_029702085.1	Contig	69	43	55.51	-4.15	99.43	1.44	clinical	NCBI	
A4594.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565970	GCA_029702105.1	Contig	89	44	55.51	-4.15	99.43	0.29	clinical	NCBI	
A4595.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565971	GCA_029702125.1	Contig	88	47	55.51	-4.15	99.43	0.29	clinical	NCBI	
A4596.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Fife	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565973	GCA_029702065.1	Contig	67	46	56.12	-3.8	99.43	0.67	clinical	NCBI	
A4597.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Fife	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565974	GCA_029702045.1	Contig	59	48	56.12	-3.8	99.43	0.29	clinical	NCBI	
A4598.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Fife	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565975	GCA_029702025.1	Contig	86	40	56.12	-3.8	99.43	0.86	clinical	NCBI	
A4599.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Dumfries	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565976	GCA_029702005.1	Contig	136	40	55.4	-3.36	99.43	0.86	clinical	NCBI	
A46.fna	Bacillus anthracis	1970-XX-XX	Germany	Stuttgart	Sus scrofa		B.Br.004_(FrenchB)	PRJNA309927	SAMN08812800	GCA_003064085.1	Contig	63	41	48.7784485	9.1800132	99.43	0.29	clinical	NCBI	
A4600.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Dumfries	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565977	GCA_029701985.1	Contig	62	45	55.4	-3.36	99.43	0.29	clinical	NCBI	
A4601.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	London	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565979	GCA_029701945.1	Contig	62	46	51.3	-0.7	99.43	0.86	clinical	NCBI	
A4602.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	London	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565980	GCA_029701885.1	Contig	79	43	51.3	-0.7	99.43	0.86	clinical	NCBI	
A4603.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Dumfries	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565981	GCA_029701905.1	Contig	139	36	55.4	-3.36	99.43	0.86	clinical	NCBI	
A4604.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Edinburgh	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565983	GCA_029701865.1	Contig	76	44	55.57	-3.11	99.43	0.86	clinical	NCBI	
A4605.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Edinburgh	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565984	GCA_029701845.1	Contig	64	50	55.57	-3.11	99.43	0.48	clinical	NCBI	
A4606.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565985	GCA_029701805.1	Contig	90	40	55.51	-4.15	99.43	0.86	clinical	NCBI	
A4607.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565986	GCA_029701825.1	Contig	87	49	55.51	-4.15	99.43	0.29	clinical	NCBI	
A4608.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565987	GCA_029701785.1	Contig	75	43	55.51	-4.15	99.43	0.29	clinical	NCBI	
A4609.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565988	GCA_029701745.1	Contig	74	46	55.51	-4.15	99.43	0.86	clinical	NCBI	
A4610.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565989	GCA_029701765.1	Contig	73	47	55.51	-4.15	99.43	0.29	clinical	NCBI	
A4611.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565990	GCA_029701725.1	Contig	94	41	55.51	-4.15	99.43	0.86	clinical	NCBI	
A4612.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565991	GCA_029701705.1	Contig	97	41	55.51	-4.15	99.43	0.86	clinical	NCBI	
A4613.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03565992	GCA_029701685.1	Contig	78	46	55.51	-4.15	99.43	0.29	clinical	NCBI	
A4614.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Maidstone	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565993	GCA_029701625.1	Contig	77	45	51.16	-0.31	99.43	0.29	clinical	NCBI	
A4615.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Maidstone	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565994	GCA_029701645.1	Contig	114	43	51.16	-0.31	99.43	0.86	clinical	NCBI	
A4616.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Livingston	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565995	GCA_029701665.1	Contig	71	43	55.54	-3.31	99.43	0.29	clinical	NCBI	
A4617.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Paisley	Homo sapiens	Skin	A.Br.169	PRJNA514245	SAMN03565996	GCA_029701605.1	Contig	65	45	55.5	-4.26	99.43	0.29	clinical	NCBI	
A4618.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565978	GCA_029701965.1	Contig	81	44	55.51	-4.15	99.43	0.86	clinical	NCBI	
A4619.fna	Bacillus anthracis	2012-XX-XX	United Kingdom	Blackpool	Homo sapiens	Skin	A.Br.171	PRJNA514245	SAMN03565997	GCA_029701585.1	Contig	43	128	53.49	-3.2	99.43	0.86	clinical	NCBI	
A4620.fna	Bacillus anthracis	2012-XX-XX	United Kingdom	Blackpool	Homo sapiens	Blood	A.Br.171	PRJNA514245	SAMN03565998	GCA_029701545.1	Contig	52	168	53.49	-3.2	99.43	0.86	clinical	NCBI	
A4621.fna	Bacillus anthracis	2013-XX-XX	United Kingdom	Gorleston	Homo sapiens	Blood	A.Br.171	PRJNA514245	SAMN03565999	GCA_029701525.1	Contig	47	157	52.34	1.44	99.43	0.86	clinical	NCBI	
A4622.fna	Bacillus anthracis	2013-XX-XX	United Kingdom	Gorleston	Homo sapiens	Blood	A.Br.171	PRJNA514245	SAMN03566000	GCA_029701565.1	Contig	61	83	52.34	1.44	99.43	0.86	clinical	NCBI	
A4623.fna	Bacillus anthracis	2013-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.171	PRJNA514245	SAMN03566001	GCA_029701485.1	Contig	57	97	55.51	-4.15	99.43	0.86	clinical	NCBI	
A4624.fna	Bacillus anthracis	2012-XX-XX	United Kingdom	Blackpool	Homo sapiens	Blood	A.Br.171	PRJNA514245	SAMN03566002	GCA_029701505.1	Contig	40	74	53.49	-3.2	99.43	0.86	clinical	NCBI	
A49.fna	Bacillus anthracis	20XX-XX-XX	Germany	Giessen			A.Br.127_(Pasteur)	PRJNA695105	SAMN13164730	GCA_022221065.1	Complete	81	3	50.5862066	8.6742306	99.43	0.29	unknown	NCBI	
A5.fna	Bacillus anthracis	1975-XX-XX	South Africa	Kruger National Park		Soil	B.Br.001	PRJNA514245	SAMN15402702	GCA_029695405.1	Contig	276	56	-23.9316231	31.5048950217197	99.43	6.47	environment	NCBI	
A8.fna	Bacillus anthracis	1975-XX-XX	South Africa	Kruger National Park		Soil	B.Br.001	PRJNA514245	SAMN15402703	GCA_029695465.1	Contig	221	57	-23.9316231	31.5048950217197	99.43	3.27	environment	NCBI	
A87.fna	Bacillus anthracis	1951-XX-XX	Germany	Giessen			A.Br.127_(Pasteur)	PRJNA695105	SAMN13164731	GCA_022220645.1	Complete	87	3	50.5862066	8.6742306	99.43	0.29	unknown	NCBI	
AF039.fna	Bacillus anthracis	20XX-XX-XX	Zimbabwe	Zimbabwe		Soil	B.Br.011_(KrugerB)	PRJNA695105	SAMN18241463	GCA_022221305.1	Complete	92	3	-18.4554963	29.7468414	99.43	0.29	environment	NCBI	
Akita-80.fna	Bacillus anthracis	1980-XX-XX	Japan	Akita			A.Br.085	PRJNA514245	SAMD00115661	GCA_029702695.1	Contig	204	359	39.6898802	140.342608	99.43	0.86	unknown	NCBI	
Ames_1981.fna	Bacillus anthracis	1981-XX-XX	USA	Texas	Bos taurus		A.Br.001	PRJNA238045	SAMN03201418	GCA_000833065.1	Complete	351	3	31.2638905	-98.5456116	99.43	0.29	clinical	NCBI	
Ames_2003.fna	Bacillus anthracis	20XX-XX-XX					A.Br.001	PRJNA309	SAMN02603432	GCA_000007845.1	Complete		1			99.43	0.29	unknown	NCBI	
Ames-Ancestor.fna.ref	Bacillus anthracis	20XX-XX-XX					A.Br.001	PRJNA10784	SAMN02603433	GCA_000008445.1	Complete		3			99.43	0.29	unknown	NCBI	
AN16-06_B.fna	Bacillus anthracis	2017-04-29	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914677	GCA_029699285.1	Contig	151	50	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-109_D1.fna	Bacillus anthracis	2016-07-18	Tanzania	Tanzania	Capra hircus	Carcass	A.Br.038	PRJNA514245	SAMEA8914720	GCA_029698685.1	Contig	96	77	-6.5247123	35.7878438	99.43	1.01	clinical	NCBI	
AN16-110_S.fna	Bacillus anthracis	2016-06-30	Tanzania	Tanzania	Capra hircus	Carcass	A.Br.038	PRJNA514245	SAMEA8914681	GCA_029696885.1	Contig	111	75	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-120_B.fna	Bacillus anthracis	2016-07-23	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914722	GCA_029698785.1	Contig	36	152	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-120_S1.fna	Bacillus anthracis	2016-07-23	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914723	GCA_029698705.1	Contig	113	52	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-122_S.fna	Bacillus anthracis	2017-01-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914725	GCA_029698665.1	Contig	141	62	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-122_T1.fna	Bacillus anthracis	2017-01-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914726	GCA_029698645.1	Contig	119	54	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-122_T2.fna	Bacillus anthracis	2017-01-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914727	GCA_029698725.1	Contig	147	54	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-128_bead.fna	Bacillus anthracis	2016-08-19	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614565	GCA_029693445.1	Contig	59	40	-2.99792	35.084373	99.43	0.35	clinical	NCBI	
AN16-128_D.fna	Bacillus anthracis	2016-08-19	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914683	GCA_029699245.1	Contig	32	260	-6.5247123	35.7878438	99.43	0.29	clinical	NCBI	
AN16-132_bead.fna	Bacillus anthracis	2017-03-21	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMN32614566	GCA_029692965.1	Contig	97	34	-3.189766	35.243246	99.43	0.29	clinical	NCBI	
AN16-132_I.fna	Bacillus anthracis	2017-03-21	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMEA8914684	GCA_029699225.1	Contig	39	64	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-135_I.fna	Bacillus anthracis	2016-10-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914686	GCA_029699205.1	Contig	96	53	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-135_S.fna	Bacillus anthracis	2016-10-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914687	GCA_029699185.1	Contig	97	183	-6.5247123	35.7878438	99.43	1.44	clinical	NCBI	
AN16-135_T1.fna	Bacillus anthracis	2016-10-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914688	GCA_029699265.1	Contig	123	54	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-14_bead.fna	Bacillus anthracis	2016-09-16	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMN32614567	GCA_029692945.1	Contig	70	33	-3.038225	35.01837	99.43	0.86	clinical	NCBI	
AN16-14_D1.fna	Bacillus anthracis	2016-09-16	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMEA8914690	GCA_029699165.1	Contig	219	55	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-14_D2.fna	Bacillus anthracis	2016-09-16	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMEA8914691	GCA_029699145.1	Contig	126	147	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-14_S1.fna	Bacillus anthracis	2016-09-16	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMEA8914692	GCA_029699085.1	Contig	41	226	-6.5247123	35.7878438	99.43	0.29	clinical	NCBI	
AN16-14_S2.fna	Bacillus anthracis	2016-09-16	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMEA8914693	GCA_029699115.1	Contig	110	53	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-144_bead.fna	Bacillus anthracis	2016-10-18	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614568	GCA_029693485.1	Contig	80	34	-2.5533	35.19708	99.43	0.86	clinical	NCBI	
AN16-155_S.fna	Bacillus anthracis	2016-11-26	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914737	GCA_029698425.1	Contig	200	73	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-160_2bead.fna	Bacillus anthracis	2016-11-26	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMN32614569	GCA_029693425.1	Contig	69	36	-3.29372	35.03663	99.43	0.86	clinical	NCBI	
AN16-160_D1.fna	Bacillus anthracis	2016-11-26	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMEA8914738	GCA_029698465.1	Contig	288	52	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-160_D2.fna	Bacillus anthracis	2016-11-26	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMEA8914739	GCA_029698445.1	Contig	112	59	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-164_S1.fna	Bacillus anthracis	2017-01-25	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914695	GCA_029699105.1	Contig	139	52	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-164_S3.fna	Bacillus anthracis	2017-01-25	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914697	GCA_029699065.1	Contig	86	91	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-165_S.fna	Bacillus anthracis	2017-01-26	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914730	GCA_029698585.1	Contig	126	50	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-169_bead.fna	Bacillus anthracis	2016-12-13	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614570	GCA_029693585.1	Contig	89	38	-2.833193	35.538847	99.43	0.86	clinical	NCBI	
AN16-169_S.fna	Bacillus anthracis	2016-12-13	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914728	GCA_029698605.1	Contig	194	62	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-169_T.fna	Bacillus anthracis	2016-12-13	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914729	GCA_029698625.1	Contig	264	78	-6.5247123	35.7878438	99.43	0.48	clinical	NCBI	
AN16-171_B.fna	Bacillus anthracis	2016-12-14	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914745	GCA_029698365.1	Contig	83	44	-6.5247123	35.7878438	99.43	0.67	clinical	NCBI	
AN16-175_T.fna	Bacillus anthracis	2017-04-30	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914719	GCA_029698745.1	Contig	71	43	-6.5247123	35.7878438	99.43	0.29	clinical	NCBI	
AN16-23_B.fna	Bacillus anthracis	2016-09-16	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMEA8914698	GCA_029699045.1	Contig	65	235	-6.5247123	35.7878438	99.43	0.67	clinical	NCBI	
AN16-23_D2.fna	Bacillus anthracis	2016-09-16	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMEA8914700	GCA_029699025.1	Contig	197	72	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-23_D3.fna	Bacillus anthracis	2016-09-16	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMEA8914701	GCA_029699005.1	Contig	52	187	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-77_T.fna	Bacillus anthracis	2016-10-09	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914731	GCA_029698565.1	Contig	236	55	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-80_D.fna	Bacillus anthracis	2016-05-10	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914706	GCA_029698965.1	Contig	126	56	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-80_I1.fna	Bacillus anthracis	2016-05-10	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914707	GCA_029698925.1	Contig	233	55	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-80_S.fna	Bacillus anthracis	2016-05-10	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914709	GCA_029698945.1	Contig	41	472	-6.5247123	35.7878438	99.43	1.44	clinical	NCBI	
AN16-83_B.fna	Bacillus anthracis	2016-08-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914746	GCA_029698305.1	Contig	38	111	-6.5247123	35.7878438	99.43	0.47	clinical	NCBI	
AN16-83_bead1.fna	Bacillus anthracis	2016-08-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614572	GCA_029693005.1	Contig	68	40	-6.5247123	35.7878438	99.43	0.29	clinical	NCBI	
AN16-83_bead2.fna	Bacillus anthracis	2016-08-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614571	GCA_029693545.1	Contig	75	37	-6.5247123	35.7878438	99.43	1.5	clinical	NCBI	
AN16-83_D.fna	Bacillus anthracis	2016-08-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914747	GCA_029698285.1	Contig	81	46	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-83_T1.fna	Bacillus anthracis	2016-08-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914748	GCA_029698245.1	Contig	192	75	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-83_T2.fna	Bacillus anthracis	2016-08-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914749	GCA_029698265.1	Contig	143	64	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-86-1_T.fna	Bacillus anthracis	2016-09-29	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914732	GCA_029698545.1	Contig	71	71	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN16-88_D.fna	Bacillus anthracis	2016-05-09	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914710	GCA_029698905.1	Contig	106	47	-6.5247123	35.7878438	99.43	0.29	clinical	NCBI	
AN17-01-A_B.fna	Bacillus anthracis	2017-04-30	Tanzania	Tanzania	Capra hircus	Carcass	A.Br.038	PRJNA514245	SAMEA8914711	GCA_029698885.1	Contig	100	92	-6.5247123	35.7878438	99.43	3.45	clinical	NCBI	
AN17-01-A_S.fna	Bacillus anthracis	2017-04-30	Tanzania	Tanzania	Capra hircus	Carcass	A.Br.038	PRJNA514245	SAMEA8914712	GCA_029698845.1	Contig	176	61	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN17-13_S.fna	Bacillus anthracis	2017-05-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614573	GCA_029693565.1	Contig	74	40	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN17-14_S1.fna	Bacillus anthracis	2017-05-25	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614575	GCA_029693525.1	Contig	76	36	-3.00427	35.17303	99.43	0.86	clinical	NCBI	
AN17-14_S2.fna	Bacillus anthracis	2017-05-25	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614576	GCA_029693505.1	Contig	60	39	-3.00427	35.17303	99.43	1.44	clinical	NCBI	
AN17-14_S3.fna	Bacillus anthracis	2017-05-25	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614577	GCA_029693465.1	Contig	81	38	-3.00427	35.17303	99.43	0.86	clinical	NCBI	
AN17-14_S4.fna	Bacillus anthracis	2017-05-25	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA918617	SAMN32614574	GCA_029636705.1	Complete	450	3	-3.00427	35.17303	99.43	0.29	clinical	NCBI	
AN17-18_I.fna	Bacillus anthracis	2017-02-20	Tanzania	Tanzania	Equus asinus	Carcass	A.Br.038	PRJNA514245	SAMEA8914733	GCA_029698525.1	Contig	78	59	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN17-18_S.fna	Bacillus anthracis	2017-02-20	Tanzania	Tanzania	Equus asinus	Carcass	A.Br.038	PRJNA514245	SAMEA8914734	GCA_029698505.1	Contig	77	94	-6.5247123	35.7878438	99.43	0.29	clinical	NCBI	
AN17-20_S.fna	Bacillus anthracis	2017-02-23	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMEA8914735	GCA_029698485.1	Contig	128	123	-6.5247123	35.7878438	99.43	3.38	clinical	NCBI	
AN17-221_bead.fna	Bacillus anthracis	2017-08-26	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614578	GCA_029693085.1	Contig	84	35	-2.98502166	35.19609667	99.43	0.86	clinical	NCBI	
AN17-338_1.fna	Bacillus anthracis	2017-12-18	Tanzania	Tanzania	Connochaetes taurinus	Carcass	A.Br.038	PRJNA514245	SAMN32614579	GCA_029693045.1	Contig	158	47	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN17-338_3.fna	Bacillus anthracis	2017-12-18	Tanzania	Tanzania	Connochaetes taurinus	Carcass	A.Br.038	PRJNA514245	SAMN32614581	GCA_029693605.1	Contig	190	45	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN17-338_4.fna	Bacillus anthracis	2017-12-18	Tanzania	Tanzania	Connochaetes taurinus	Carcass	A.Br.038	PRJNA514245	SAMN32614582	GCA_029693065.1	Contig	184	44	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN17-38_T1.fna	Bacillus anthracis	2017-02-25	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMEA8914740	GCA_029698405.1	Contig	51	63	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN17-384_1.fna	Bacillus anthracis	2017-11-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614584	GCA_029692985.1	Contig	171	42	-2.79795333	35.253975	99.43	0.29	clinical	NCBI	
AN17-384_2.fna	Bacillus anthracis	2017-11-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA918617	SAMN32614585	GCA_029636405.1	Complete	550	3	-2.79795333	35.253975	99.43	0.86	clinical	NCBI	
AN17-384_3.fna	Bacillus anthracis	2017-11-20	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614583	GCA_029693025.1	Contig	187	102	-2.79795333	35.253975	99.43	0.29	clinical	NCBI	
AN17-398_1.fna	Bacillus anthracis	2017-11-25	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614586	GCA_029693665.1	Contig	176	69	-2.825195	35.19560667	99.43	0.86	clinical	NCBI	
AN17-398_3.fna	Bacillus anthracis	2017-11-25	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614587	GCA_029693705.1	Contig	184	44	-2.825195	35.19560667	99.43	0.86	clinical	NCBI	
